question_id,ref_id,reference_answer_text
Q001,R1,"An OS is system software that manages hardware, software resources, and provides services for computer programs."
Q001,R2,"Operating system plays an essential role in os basics, helping the operating system to function efficiently."
Q001,R3,"In simple terms, operating system refers to a mechanism or principle used in os basics to manage processes or resources."
Q002,R1,"Functions include process management, memory management, file system management, device management, and security."
Q002,R2,"Name main functions of operating system plays an essential role in os basics, helping the operating system to function efficiently."
Q002,R3,"In simple terms, name main functions of operating system refers to a mechanism or principle used in os basics to manage processes or resources."
Q003,R1,"A process is a program in execution, including program counter, registers, and variables."
Q003,R2,"Process plays an essential role in process management, helping the operating system to function efficiently."
Q003,R3,"In simple terms, process refers to a mechanism or principle used in process management to manage processes or resources."
Q004,R1,A thread is the smallest unit of a process that can be scheduled and executed independently.
Q004,R2,"Thread plays an essential role in process management, helping the operating system to function efficiently."
Q004,R3,"In simple terms, thread refers to a mechanism or principle used in process management to manage processes or resources."
Q005,R1,"A process is an independent program with its own memory, while a thread shares memory within a process and is lighter."
Q005,R2,"Difference  process  thread plays an essential role in process management, helping the operating system to function efficiently."
Q005,R3,"In simple terms, difference  process  thread refers to a mechanism or principle used in process management to manage processes or resources."
Q006,R1,Multitasking allows multiple processes to run simultaneously on a CPU by managing execution through scheduling.
Q006,R2,"Multitasking plays an essential role in os basics, helping the operating system to function efficiently."
Q006,R3,"In simple terms, multitasking refers to a mechanism or principle used in os basics to manage processes or resources."
Q007,R1,Time-sharing allows multiple users to use a system simultaneously by rapidly switching CPU time among processes.
Q007,R2,"Time-sharing plays an essential role in os basics, helping the operating system to function efficiently."
Q007,R3,"In simple terms, time-sharing refers to a mechanism or principle used in os basics to manage processes or resources."
Q008,R1,Context switching is saving the state of a process and loading the state of another process so the CPU can switch between them.
Q008,R2,"Context switching plays an essential role in process management, helping the operating system to function efficiently."
Q008,R3,"In simple terms, context switching refers to a mechanism or principle used in process management to manage processes or resources."
Q009,R1,"The kernel is the core part of an OS that manages system resources, process scheduling, memory, and hardware communication."
Q009,R2,"Kernel plays an essential role in os basics, helping the operating system to function efficiently."
