timestamp,question_id,question_text,transcript,asr_confidence,best_reference,semantic_similarity,final_score_0_10,audio_path,audio_url
2025-11-16T23:36:18.258944,Q031,What is a mutex?,MuTex is a locking mechanism that ensures that 100 accesses a process at 8 times.,0.565061196,Mutex (mutual exclusion) is a locking mechanism ensuring that only one thread accesses a resource at a time.,0.829326,8.29,D:\oral_evaluator_project_updated\outputs\audio_records\Q031.wav,/audio/Q031.wav
2025-11-16T23:43:47.682961,Q074,What is a hybrid kernel?,Hybrid kernel combines the feature of monoletic micro-curnon to enhance the performance,0.527891862,Hybrid kernel combines features of microkernel and monolithic kernel for performance and modularity.,0.671018,6.71,D:\oral_evaluator_project_updated\outputs\audio_records\Q074.wav,/audio/Q074.wav
2025-11-16T23:57:33.109513,Q112,What is aging in CPU scheduling?,Eaching gradually increases the priority of Eaching Precises to increase starvation.,0.577434898,Aging gradually increases the priority of waiting processes to prevent starvation.,0.617695,6.18,D:\oral_evaluator_project_updated\outputs\audio_records\Q112.wav,/audio/Q112.wav
2025-11-17T02:25:16.783765,Q230,What is SJF scheduling?,no,0.047127886,Shortest Job First schedules the process with the shortest execution time next.,0.027394,0.27,D:\oral_evaluator_project_updated\outputs\audio_records\Q230.wav,/audio/Q230.wav
2025-11-17T02:56:00.423665,Q241,What is virtual file system (VFS)?,Each one files a system based on essential rolling. Operating system helps the file to work efficient.,0.493680742,"Virtual file system (vfs) plays an essential role in file systems, helping the operating system to function efficiently.",0.53444,5.34,D:\oral_evaluator_project_updated\outputs\audio_records\Q241.wav,/audio/Q241.wav
2025-11-17T03:03:14.818148,Q452,What is a superblock?,Meta data in the option that stores the information about the disk search.,0.565546795,Metadata in a file system that stores information about disk layout and free space.,0.606719,6.07,D:\oral_evaluator_project_updated\outputs\audio_records\Q452.wav,/audio/Q452.wav
2025-11-17T03:40:34.244172,Q108,What is mutual exclusion?,"So what do you want to do now? Prochets. Okay, thank you. Thank you.",0.418905146,"Mutual exclusion plays an essential role in os basics, helping the operating system to function efficiently.",0.086857,0.87,D:\oral_evaluator_project_updated\outputs\audio_records\Q108.wav,/audio/Q108.wav
2025-11-17T03:58:37.669687,Q170,Difference between hard and soft RTOS?,Our DOS requires jobs to be computed with you as restricted at night whereas our DOS is more flexible.,0.467017642,"Difference  hard  soft rtos plays an essential role in os basics, helping the operating system to function efficiently.",0.295226,2.95,D:\oral_evaluator_project_updated\outputs\audio_records\Q170.wav,/audio/Q170.wav
2025-11-19T00:32:11.279378,Q024,What is non-preemptive scheduling?,"The process starts using this CPU, it will run till with the motor waiting state.",0.618145732,Non-preemptive scheduling does not interrupt a running process until it finishes or voluntarily yields CPU.,0.528583,5.29,D:\oral_evaluator_project_updated\outputs\audio_records\Q024.wav,/audio/Q024.wav
2025-11-19T00:44:22.226244,Q171,What is a distributed OS?,Bistrobathe OS refers to a multiple models connected to Inda connected network.,0.370891833,"Distributed os plays an essential role in os basics, helping the operating system to function efficiently.",0.355355,3.55,D:\oral_evaluator_project_updated\outputs\audio_records\Q171.wav,/audio/Q171.wav
2025-11-19T03:29:52.745599,Q433,What is a real-time OS (RTOS)?,OS design for predictable time critical operations,0.633180692,"OS designed for predictable, time-critical operations.",0.897632,8.98,D:\oral_evaluator_project_updated\outputs\audio_records\Q433.wav,/audio/Q433.wav
